local,visita,goles_local,goles_visita,torneo_id,temporada
Martinique,Puerto Rico,2,0,1,2023
Saint Kitts and Nevis,French Guiana,1,1,1,2023
Algeria,Tunisia,1,1,0,2023
Bolivia,Chile,0,0,0,2023
Brazil,Senegal,2,4,0,2023
China,Palestine,2,0,0,2023
Ecuador,Costa Rica,3,1,0,2023
Germany,Colombia,0,2,0,2023
Haiti,Trinidad and Tobago,0,0,0,2023
Japan,Peru,4,1,0,2023
South Korea,El Salvador,1,1,0,2023
Malaysia,Papua New Guinea,10,0,0,2023
Montenegro,Czech Republic,1,4,0,2023
Uruguay,Cuba,2,0,0,2023
Vietnam,Syria,1,0,0,2023
Scotland,Georgia,2,0,1,2023
Norway,Cyprus,3,1,1,2023
Faroe Islands,Albania,1,3,1,2023
Moldova,Poland,3,2,1,2023
Austria,Sweden,2,0,1,2023
Estonia,Belgium,0,3,1,2023
Hungary,Lithuania,2,0,1,2023
Bulgaria,Serbia,1,1,1,2023
Iceland,Portugal,0,1,1,2023
Bosnia and Herzegovina,Luxembourg,0,2,1,2023
Liechtenstein,Slovakia,0,1,1,2023
Kyrgyzstan,Oman,0,1,1,2023
Uzbekistan,Iran,0,1,1,2023
Burundi,Namibia,3,2,1,2023
Ethiopia,Malawi,0,0,1,2023
Sudan,Mauritania,0,3,1,2023
Kuwait,Nepal,3,1,1,2023
India,Pakistan,4,0,1,2023
Lebanon,Bangladesh,2,0,1,2023
Maldives,Bhutan,2,0,1,2023
Pakistan,Kuwait,0,4,1,2023
India,Nepal,2,0,1,2023
United States,Jamaica,1,1,1,2023
Bangladesh,Maldives,3,1,1,2023
Bhutan,Lebanon,1,4,1,2023
Trinidad and Tobago,Saint Kitts and Nevis,3,0,1,2023
Haiti,Qatar,2,1,1,2023
Mexico,Honduras,4,0,1,2023
El Salvador,Martinique,1,2,1,2023
Costa Rica,Panama,1,2,1,2023
Nepal,Pakistan,1,0,1,2023
India,Kuwait,1,1,1,2023
Canada,Guadeloupe,2,2,1,2023
Guatemala,Cuba,1,0,1,2023
Lebanon,Maldives,1,0,1,2023
Bhutan,Bangladesh,1,3,1,2023
Jamaica,Trinidad and Tobago,4,1,1,2023
United States,Saint Kitts and Nevis,6,0,1,2023
Qatar,Honduras,1,1,1,2023
Haiti,Mexico,1,3,1,2023
Székely Land,Chameria,3,2,1,2023
Martinique,Panama,1,2,1,2023
El Salvador,Costa Rica,0,0,1,2023
Chameria,Two Sicilies,3,1,1,2023
India,Lebanon,0,0,1,2023
Kuwait,Bangladesh,1,0,1,2023
Cuba,Guadeloupe,1,4,1,2023
Guatemala,Canada,0,0,1,2023
Székely Land,Two Sicilies,7,0,1,2023
United States,Trinidad and Tobago,6,0,1,2023
Jamaica,Saint Kitts and Nevis,5,0,1,2023
Honduras,Haiti,2,1,1,2023
Mexico,Qatar,0,1,1,2023
India,Kuwait,1,1,1,2023
Costa Rica,Martinique,6,4,1,2023
Panama,El Salvador,2,2,1,2023
Guadeloupe,Guatemala,2,3,1,2023
Canada,Cuba,4,2,1,2023
Eswatini,Botswana,0,1,1,2023
South Africa,Namibia,1,1,1,2023
Seychelles,Comoros,0,3,1,2023
Zambia,Malawi,0,1,1,2023
Mauritius,Lesotho,0,2,1,2023
Mozambique,Angola,1,1,1,2023
Panama,Qatar,4,0,1,2023
Mexico,Costa Rica,2,0,1,2023
South Africa,Botswana,2,1,1,2023
Namibia,Eswatini,1,2,1,2023
Guatemala,Jamaica,0,1,1,2023
United States,Canada,2,2,1,2023
Åland Islands,Isle of Wight,0,2,1,2023
Guernsey,Western Isles,1,0,1,2023
Isle of Man,Falkland Islands,3,0,1,2023
Ynys Môn,Shetland,2,0,1,2023
Orkney,Greenland,2,2,1,2023
Jersey,Gozo,1,0,1,2023
Menorca,Saint Helena,5,0,1,2023
Zambia,Comoros,2,1,1,2023
Malawi,Seychelles,2,0,1,2023
Western Isles,Isle of Wight,0,1,1,2023
Guernsey,Åland Islands,4,1,1,2023
Falkland Islands,Ynys Môn,1,5,1,2023
Shetland,Isle of Man,3,2,1,2023
Greenland,Frøya,2,0,1,2023
Gozo,Saint Helena,3,0,1,2023
Jersey,Menorca,4,0,1,2023
Angola,Mauritius,0,1,1,2023
Mozambique,Lesotho,0,1,1,2023
Guernsey,Isle of Wight,1,2,1,2023
Åland Islands,Western Isles,0,2,1,2023
Falkland Islands,Shetland,1,4,1,2023
Isle of Man,Ynys Môn,1,2,1,2023
Frøya,Orkney,2,3,1,2023
Menorca,Gozo,0,1,1,2023
Saint Helena,Jersey,0,5,1,2023
Namibia,Botswana,0,0,1,2023
South Africa,Eswatini,2,1,1,2023
Malawi,Comoros,2,0,1,2023
Seychelles,Zambia,2,4,1,2023
United States,Panama,1,1,1,2023
Jamaica,Mexico,0,3,1,2023
Angola,Lesotho,4,2,1,2023
Mauritius,Mozambique,0,1,1,2023
Frøya,Saint Helena,4,2,1,2023
Åland Islands,Falkland Islands,1,1,1,2023
Western Isles,Menorca,2,1,1,2023
Orkney,Isle of Man,0,1,1,2023
Shetland,Greenland,5,1,1,2023
Guernsey,Gozo,1,0,1,2023
Isle of Wight,Jersey,2,3,1,2023
Ynys Môn,Jersey,2,5,1,2023
Malawi,Lesotho,1,1,1,2023
South Africa,Zambia,1,2,1,2023
Kernow,Sápmi,2,1,1,2023
Mexico,Panama,1,0,1,2023
South Africa,Malawi,0,0,1,2023
Lesotho,Zambia,0,1,1,2023
Ethiopia,Guyana,2,0,0,2023
Tamil Eelam,Hmong,3,0,1,2023
Hmong,Tibet,5,4,1,2023
Tibet,Tamil Eelam,1,3,1,2023
Raetia,Ticino,5,1,0,2023
Tamil Eelam,Hmong,3,1,1,2023
Comoros,Mayotte,0,0,1,2023
Madagascar,Seychelles,1,0,1,2023
Réunion,Mayotte,0,0,1,2023
Madagascar,Mauritius,1,1,1,2023
Bolivia,Panama,1,2,0,2023
Tahiti,Cook Islands,9,1,0,2023
Comoros,Réunion,1,1,1,2023
Mauritius,Seychelles,1,0,1,2023
Tahiti,Cook Islands,3,0,0,2023
Madagascar,Comoros,4,2,1,2023
Réunion,Mauritius,2,1,1,2023
Comoros,Mauritius,0,2,1,2023
Madagascar,Réunion,1,0,1,2023
Bangladesh,Afghanistan,0,0,0,2023
Guatemala,Honduras,0,0,0,2023
Mozambique,Benin,3,2,1,2023
Macau,Bhutan,0,1,0,2023
Malta,Gibraltar,1,0,0,2023
Oman,Palestine,2,1,0,2023
Syria,Malaysia,2,2,0,2023
Libya,Equatorial Guinea,1,1,1,2023
Trinidad and Tobago,Curaçao,1,0,1,2023
Panama,Martinique,3,0,1,2023
Guatemala,El Salvador,2,0,1,2023
Sint Maarten,Saint Lucia,1,5,1,2023
Saint Kitts and Nevis,Guadeloupe,1,2,1,2023
Anguilla,Saint Martin,0,6,1,2023
United States Virgin Islands,Cayman Islands,2,2,1,2023
Colombia,Venezuela,1,0,1,2023
Paraguay,Peru,0,0,1,2023
Argentina,Ecuador,1,0,1,2023
Austria,Moldova,1,1,0,2023
Bahrain,Kuwait,1,3,0,2023
Bangladesh,Afghanistan,1,1,0,2023
Bulgaria,Iran,0,1,0,2023
